#Format version: 1.0
time[us],accX[g],accY[g],accZ[g],
669561829,-0.037,0.288,-1.045,
669600354,0.025,0.022,-1.015,
669638878,0.081,-0.203,-0.961,
669677402,0.132,-0.268,-0.948,
669715926,0.141,-0.238,-0.914,
669754450,0.112,-0.135,-0.927,
669792975,0.058,0.031,-1.004,
669831499,0,0.168,-1.038,
669870023,-0.053,0.318,-1.115,
669908547,-0.068,0.412,-1.157,
669947072,-0.047,0.329,-1.11,
669985596,-0.004,0.168,-1.035,
670024120,0.078,-0.095,-0.963,
670062644,0.138,-0.251,-0.853,
670101168,0.152,-0.251,-0.854,
670139693,0.099,-0.149,-0.912,
670178217,0.028,0.085,-1.031,
670216741,-0.051,0.345,-1.107,
670255266,-0.095,0.454,-1.166,
670293790,-0.094,0.465,-1.118,
670332314,-0.054,0.273,-1.029,
670370838,0.038,-0.107,-0.998,
670409362,0.123,-0.356,-0.924,
670447887,0.155,-0.418,-0.841,
670486411,0.114,-0.248,-0.897,
670524935,0.013,0.046,-1.023,
670563459,-0.086,0.464,-1.167,
670601984,-0.108,0.542,-1.189,
670640508,-0.107,0.573,-1.1,
670679032,-0.035,0.188,-1.029,
670717557,0.069,-0.25,-0.928,
670756081,0.15,-0.465,-0.85,
670794605,0.146,-0.359,-0.894,
670833129,0.062,-0.063,-0.912,
670871654,-0.026,0.265,-1.05,
670910178,-0.101,0.471,-1.185,
670948702,-0.103,0.565,-1.162,
670987226,-0.049,0.402,-1.055,
671025751,0.04,-0.019,-1.001,
671064274,0.134,-0.368,-0.94,
671102799,0.184,-0.47,-0.833,
671141323,0.136,-0.261,-0.898,
671179848,0.008,0.223,-1.016,
671218372,-0.089,0.509,-1.175,
671256896,-0.11,0.585,-1.212,
671295420,-0.079,0.468,-1.051,
671333944,0.024,-0.013,-0.97,
671372469,0.147,-0.419,-0.935,
671410993,0.177,-0.462,-0.848,
671449517,0.124,-0.237,-0.921,
671488042,-0.028,0.195,-0.97,
671526566,-0.156,0.445,-1.139,
671565090,-0.2,0.438,-1.177,
671603614,-0.13,0.33,-1.031,
671642139,0.06,0.076,-0.945,
671680663,0.26,-0.136,-0.971,
671719187,0.374,-0.155,-0.981,
671757711,0.39,-0.096,-0.998,
671796235,0.255,0.045,-1.069,
671834760,0.07,0.121,-1.049,
671873284,-0.062,0.181,-1.02,
671911808,-0.153,0.155,-1.033,
671950332,-0.222,0.119,-1.021,
